"census_tract","state","county","urban","poverty_rate","median_income","low_vehicle_access","low_access_share","snap_low_access_share","child_low_access_share","senior_low_access_share","low_income_low_access_share"
"01001020100","Alabama","Autauga County","1",11.3,81250,"0",99.19,13.22,26.33,11.44,24.11
"01001020200","Alabama","Autauga County","1",17.9,49000,"0",58.11,12.95,18.69,5.83,27.83
"01001020300","Alabama","Autauga County","1",15,62609,"0",46,5.87,12.34,5.96,14.18
"01001020400","Alabama","Autauga County","1",2.8,70607,"0",31.09,1.76,7.89,5.39,7.83
"01001020500","Alabama","Autauga County","1",15.2,96334,"1",24.55,2.04,6.64,3.36,5.45
"01001020600","Alabama","Autauga County","1",21.6,69521,"0",93.72,15.7,26.03,10.22,43.21
"01001020700","Alabama","Autauga County","1",30.5,39875,"0",42.58,11.82,10.31,3.78,25.67
"01001020801","Alabama","Autauga County","0",8.9,89423,"0",100,13.99,26.45,11.07,18.7
"01001020802","Alabama","Autauga County","0",13.7,84833,"1",89.51,7.71,24.66,9.42,24.41
"01001020900","Alabama","Autauga County","0",9.8,77865,"0",95.23,14,25.46,10.55,23.05
"01001021000","Alabama","Autauga County","0",22.7,60900,"0",100,14.31,25.92,11.99,38.67
"01001021100","Alabama","Autauga County","0",24.1,49833,"1",100,17.36,22.59,14.85,51.75
"01003010100","Alabama","Baldwin County","0",10.2,56464,"0",100,8.09,24.11,15.9,35.56
"01003010200","Alabama","Baldwin County","0",20.2,44954,"0",100,12.81,26.02,13.03,53.61
"01003010300","Alabama","Baldwin County","0",6.4,81799,"1",95.37,5.24,21.98,13.58,27.78
"01003010400","Alabama","Baldwin County","0",12.3,58359,"0",99.47,6.84,24.73,12.87,28.23
"01003010500","Alabama","Baldwin County","1",14.3,69951,"0",38.91,5.93,8.67,8.17,11.31
"01003010600","Alabama","Baldwin County","1",27.7,50536,"0",48.62,13.72,13.65,5.45,26.57
"01003010701","Alabama","Baldwin County","1",4.8,112717,"0",45.01,0.61,12.94,5.01,6.6
"01003010703","Alabama","Baldwin County","0",2.1,102153,"0",77.33,2.93,22.93,6.71,4.88
"01003010704","Alabama","Baldwin County","1",13.4,80678,"0",95.95,4.11,22.28,12.46,31.77
"01003010705","Alabama","Baldwin County","1",14.2,76343,"0",41.78,1.16,11.17,5.93,11.22
"01003010800","Alabama","Baldwin County","1",8.3,92714,"0",36.27,1.53,8.97,5.92,11.76
"01003010903","Alabama","Baldwin County","0",12.5,63116,"1",76.19,7.03,16.06,7.94,23.06
"01003010904","Alabama","Baldwin County","0",17,65515,"0",93.41,9.07,21.84,13.25,28.79
"01003010905","Alabama","Baldwin County","0",16,58296,"1",71.15,8.08,18.64,8.75,20.31
"01003010906","Alabama","Baldwin County","1",15.5,51630,"0",72.02,8.66,18.98,9.39,28.31
"01003011000","Alabama","Baldwin County","0",21.7,48244,"1",97.74,7.35,23.6,15.32,43.87
"01003011101","Alabama","Baldwin County","1",5.5,89861,"0",37.32,1.72,9.44,7.05,5.49
"01003011102","Alabama","Baldwin County","0",7.2,77321,"0",100,6.37,26.86,13.49,24.06
"01003011201","Alabama","Baldwin County","1",15.9,83102,"0",9.33,0.61,2.47,1.7,2.62
"01003011202","Alabama","Baldwin County","1",5.5,79063,"0",33.92,1.72,6.88,7.58,15.85
